Sr_No,Case_No,Case_Title,Case_Subject,Author_Judge,Upload_Date,Judgment_Date,Citations,SC_Citations,PDF_URL,Filename,Download_Status,Timestamp
142,C.P.L.A.288-P/2025,"Director Intelligence & Investigation (Customs) Federal Board of Revenue, Peshawar v. Zaman Khan and others",Customs/Confiscation of vehicle,Mr. Justice Aqeel Ahmed Abbasi,10-06-2025,23-04-2025,N/A,2025 SCP 218,https://www.supremecourt.gov.pk/downloads_judgements/c.p._288_p_2025_r.pdf,C.P.L.A.288-P_2025.pdf,Success,2025-10-05T14:06:20.255003
143,C.A.2026/2022,"Commissioner Inland Revenue, Zone-I, Regional Tax Office, Sialkot v. M/s White Gold Steel Mills, S.I.E. Daska",Tax/Income Tax,Mr. Justice Munib Akhtar,05-06-2025,05-06-2025,N/A,2025 SCP 217,https://www.supremecourt.gov.pk/downloads_judgements/c.a._2026_2022l.pdf,C.A.2026_2022.pdf,Success,2025-10-05T14:06:21.130840
144,Crl.A.379/2021,Fateh Khan v. The State thr. P.G. Punjab & another,Life Imprisonment/Sessions,Mr. Justice Naeem Akhter Afghan,04-06-2025,04-06-2025,N/A,2025 SCP 216,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._379_2021.pdf,Crl.A.379_2021.pdf,Success,2025-10-05T14:06:21.952893
145,C.P.L.A.813-L/2024,"Pakistan Railways through Chief Controller of Purchase Pakistan Railways, Lahore v. CRRC Ziyang Co.Limited, Lahore",Against Remand Order/Against Remand Order,Mr. Justice Miangul Hassan Aurangzeb,02-06-2025,29-04-2025,N/A,2025 SCP 215,https://www.supremecourt.gov.pk/downloads_judgements/c.p._813_l_2024.pdf,C.P.L.A.813-L_2024.pdf,Success,2025-10-05T14:06:23.377272
146,Crl.A.345/2020,Muhammad Ijaz @ Jajj v. The State,Life Imprisonment/Sessions,Mr. Justice Muhammad Hashim Khan Kakar,02-06-2025,07-05-2025,N/A,2025 SCP 214,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._345_2020.pdf,Crl.A.345_2020.pdf,Success,2025-10-05T14:06:24.759121
147,Crl.A.199/2023,Ghulam Mustafa alias Raja Buledi v. The State,Death Sentence/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,02-06-2025,12-05-2025,N/A,2025 SCP 213,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._199_2023.pdf,Crl.A.199_2023.pdf,Success,2025-10-05T14:06:26.308763
148,Crl.A.212/2023,Muhammad Wajid v. The State,Death Sentence/Sessions,Mr. Justice Ishtiaq Ibrahim,02-06-2025,15-05-2025,N/A,2025 SCP 212,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._212_2023.pdf,Crl.A.212_2023.pdf,Success,2025-10-05T14:06:27.624517
149,J.P.149/2018,Amir Khan v. The State,Life Imprisonment/Sessions,Mr. Justice Ishtiaq Ibrahim,02-06-2025,12-05-2025,N/A,2025 SCP 211,https://www.supremecourt.gov.pk/downloads_judgements/j.p._149_2018.pdf,J.P.149_2018.pdf,Success,2025-10-05T14:06:29.012348
150,C.P.L.A.466-K/2025,"Director, Directorate General, Intelligence & Investigation (Customs) v. Altaf Hussain & another",Customs/Customs,Mr. Justice Munib Akhtar,31-05-2025,29-05-2025,N/A,2025 SCP 210,https://www.supremecourt.gov.pk/downloads_judgements/c.p._466_k_2025.pdf,C.P.L.A.466-K_2025.pdf,Success,2025-10-05T14:06:29.695270
151,Crl.A.172/2023,Muhammad Bilal v. The State,Death Sentence/Sessions,Mr. Justice Irfan Saadat Khan,31-05-2025,05-05-2025,N/A,2025 SCP 209,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._172_2023.pdf,Crl.A.172_2023.pdf,Success,2025-10-05T14:06:31.167721
152,Crl.A.304/2020,Amir Shahzad v. The State,Life Imprisonment/Sessions,Mr. Justice Irfan Saadat Khan,31-05-2025,19-05-2025,N/A,2025 SCP 208,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._304_2020.pdf,Crl.A.304_2020.pdf,Success,2025-10-05T14:06:32.614002
153,Crl.A.231/2023,Amjad and Irfan v. The State,Death Sentence/Sessions,Mr. Justice Irfan Saadat Khan,31-05-2025,12-05-2025,N/A,2025 SCP 207,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._231_2023.pdf,Crl.A.231_2023.pdf,Success,2025-10-05T14:06:34.045303
154,C.A.164/2025,"MCB Bank Limited, Lahore v. Uzma Tehreem and others",Banking/Recovery Suits,Mr. Justice Naeem Akhter Afghan,30-05-2025,29-05-2025,N/A,2025 SCP 206,https://www.supremecourt.gov.pk/downloads_judgements/c.a._164_2025.pdf,C.A.164_2025.pdf,Success,2025-10-05T14:06:34.862654
155,I.C.A.5/2023,"Shuhada Forum, Balochistan through its Patron in Chief, Nawabzada Jamal Raisani, Quetta Cantt and others v. Justice (R) Jawwad S. Khawaja and others",Miscellaneous,Mr. Justice Jamal Khan Mandokhail,30-05-2025,30-05-2025,N/A,2025 SCP 205,https://www.supremecourt.gov.pk/downloads_judgements/i.c.a._5_2023_dn.pdf,I.C.A.5_2023.pdf,Already exists,2025-10-05T14:06:35.164488
156,C.P.L.A.44/2022,"Ahmed Owais Peerzada v. Principal Secretary to the Prime Minister, Prime Minister;s Secretariat, Islamabad and others",Service/Promotion,Mr. Justice Muhammad Ali Mazhar,30-05-2025,14-01-2025,2025 SCMR 819,2025 SCP 204,https://www.supremecourt.gov.pk/downloads_judgements/c.p._44_2022.pdf,C.P.L.A.44_2022.pdf,Success,2025-10-05T14:06:36.028153
157,C.P.L.A.1982/2025,"Frontier Holdings Limited through its Chief Executive, Islamabad and another v. Petroleum Exploration Pvt. Limited through its Chief Executive Officer, Islamabad",Arbitration/Enforcement of Award,Mr. Justice Syed Mansoor Ali Shah,30-05-2025,29-05-2025,N/A,2025 SCP 203,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1982_2025.pdf,C.P.L.A.1982_2025.pdf,Success,2025-10-05T14:06:36.764721
158,Crl.A.91/2024,Muhammad Kamran v. The State thr. A.G. Islamabad & another,Death Sentence/Sessions,Mr. Justice Muhammad Hashim Khan Kakar,30-05-2025,16-05-2025,N/A,2025 SCP 202,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._91_2024.pdf,Crl.A.91_2024.pdf,Success,2025-10-05T14:06:37.542648
159,C.R.P.557/2020,"Gul Tiaz Khan Marwat v. The Registrar Peshawar High Court, Peshawar & others",Service/Dismissal from Service,Mr. Justice Shakeel Ahmad,30-05-2025,30-05-2025,N/A,2025 SCP 201,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._557_2020.pdf,C.R.P.557_2020.pdf,Success,2025-10-05T14:06:38.331749
160,C.P.L.A.2475-L/2024,"Additional Collector of Customs, Faisalabad through Collector of Customs v. M/s. Fatima Enterprises, Multan & another",Customs/Customs,Mr. Justice Munib Akhtar,30-05-2025,26-05-2025,N/A,2025 SCP 200,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2475_l_2024.pdf,C.P.L.A.2475-L_2024.pdf,Success,2025-10-05T14:06:39.076392
161,Crl.P.L.A.132/2018,Khair Muhammad v. The State thr. P.G. Balochistan,Life Imprisonment/Life Imprisonment,Mr. Justice Irfan Saadat Khan,30-05-2025,30-04-2025,N/A,2025 SCP 199,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._132_2018.pdf,Crl.P.L.A.132_2018.pdf,Success,2025-10-05T14:06:40.541379
162,C.P.L.A.2283-L/2016,"Muhammad Niaz Khan v. R.P.O. Sheikhupura Region at Lahore, etc",Service/Against reduction of penalty,Mr. Justice Syed Mansoor Ali Shah,29-05-2025,12-05-2025,N/A,2025 SCP 198,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2283_l_2016.pdf,C.P.L.A.2283-L_2016.pdf,Success,2025-10-05T14:06:41.383961
163,C.P.L.A.2646/2023,"Shahbaz Latif v. DIG Pakistan Railways Headquarters officer, Lahore and another",Service/Dismissal from Service,Mr. Justice Syed Mansoor Ali Shah,29-05-2025,19-05-2025,N/A,2025 SCP 197,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2646_2023.pdf,C.P.L.A.2646_2023.pdf,Success,2025-10-05T14:06:42.154709
164,C.P.L.A.312/2025,"M/s Chaudhary Steel Furnace, Daska v. Commissioner Inland Revenue, Islamabad through its Chairman",Tax/Sales Tax Act,Mr. Justice Muhammad Shafi Siddiqui,29-05-2025,22-05-2025,N/A,2025 SCP 196,https://www.supremecourt.gov.pk/downloads_judgements/c.p._312_2025.pdf,C.P.L.A.312_2025.pdf,Success,2025-10-05T14:06:42.876541
165,Crl.A.26/2021,Bashir-ud-Din and Sharif-ud-Din v. The State,Death Sentence/Death Sentence,Mr. Justice Salahuddin Panhwar,29-05-2025,08-05-2025,N/A,2025 SCP 195,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._26_2021.pdf,Crl.A.26_2021.pdf,Success,2025-10-05T14:06:43.948333
166,Crl.P.L.A.170-L/2025,"Muhammad Amjad Naeem v. The State through P.G Punjab, Lahore and another",Bail After Arrest,Mr. Justice Sardar Tariq Masood,27-05-2025,23-04-2025,N/A,2025 SCP 194,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._170_l_2025_23042025.pdf,Crl.P.L.A.170-L_2025.pdf,Success,2025-10-05T14:06:44.976199
167,C.P.L.A.1575/2024,"Ayesha Tayyab v. Station House Officer, Police Station Cantt., District Sialkot and others",Writ Petition/Writ Petition,Mr. Justice Sardar Tariq Masood,27-05-2025,13-05-2025,N/A,2025 SCP 193,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1575_2024_13052025.pdf,C.P.L.A.1575_2024.pdf,Success,2025-10-05T14:06:45.910528
168,C.R.P.458/2024,Dr. Muhammad Asiif v. Dr. Sana Sattar and others,Guardian and Ward/Custody of Minor,Mr. Justice Syed Mansoor Ali Shah,26-05-2025,16-05-2025,N/A,2025 SCP 192,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._458_2024.pdf,C.R.P.458_2024.pdf,Success,2025-10-05T14:06:46.789351
169,J.P.403/2022,Qurban Ali v. The State,Death Sentence/Sessions,Mr. Justice Irfan Saadat Khan,23-05-2025,06-05-2025,N/A,2025 SCP 191,https://www.supremecourt.gov.pk/downloads_judgements/j.p._403_2022.pdf,J.P.403_2022.pdf,Success,2025-10-05T14:06:48.112848
170,J.P.389/2023,Ahsin Ali v. The State,Death Sentence/Sessions,Mr. Justice Irfan Saadat Khan,23-05-2025,07-05-2025,N/A,2025 SCP 190,https://www.supremecourt.gov.pk/downloads_judgements/j.p._389_2023_07032025.pdf,J.P.389_2023.pdf,Success,2025-10-05T14:06:49.274119
171,C.A.202/2025,Ammar Bashir v. Irfan Shafi Khokhar & others,Election-Provincial Assembly/Acceptance of Nomination Papers,Mr. Justice Shahid Waheed,21-05-2025,09-05-2025,N/A,2025 SCP 189,https://www.supremecourt.gov.pk/downloads_judgements/c.a._202_2025.pdf,C.A.202_2025.pdf,Success,2025-10-05T14:06:50.124913
172,C.P.L.A.3519/2021,"Muhammad Naseer Butt v. Additional District Judge, Lahore and others",Family/Maintenance Allowance,Mr. Justice Miangul Hassan Aurangzeb,21-05-2025,06-05-2025,N/A,2025 SCP 188,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3519_2021.pdf,C.P.L.A.3519_2021.pdf,Success,2025-10-05T14:06:50.756850
173,C.P.L.A.2987-L/2019,"District & Sessions Judge (Authroirty), Jhang, etc v. Ghulam Shabbir",Service/Against reduction of penalty,Mr. Justice Syed Mansoor Ali Shah,20-05-2025,07-05-2025,N/A,2025 SCP 187,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2987_l_2019.pdf,C.P.L.A.2987-L_2019.pdf,Success,2025-10-05T14:06:51.740830
174,C.A.47-K/2021,Mst.Parveen Ara v. Muhammad Hanif & others,Rent/Ejectment/Personal Need,Mr. Justice Muhammad Ali Mazhar,16-05-2025,07-03-2025,N/A,2025 SCP 186,https://www.supremecourt.gov.pk/downloads_judgements/c.a._47_k_2021.pdf,C.A.47-K_2021.pdf,Success,2025-10-05T14:06:52.743203
175,C.P.L.A.1106/2024,Maqbool Ali and another v. Mst. Raheela and others,Family/Recovery of Dower Amount,Mr. Justice Miangul Hassan Aurangzeb,16-05-2025,13-05-2025,N/A,2025 SCP 185,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1106_2024.pdf,C.P.L.A.1106_2024.pdf,Success,2025-10-05T14:06:53.699141
176,C.A.634/2018,"M/s WAK Limited Multan Road, Lahore v. Collector Central Excise & Sales Tax, Lahore (Now Commissioner Inland Revenue, LTU, Lahore) and others",Tax/Sales Tax Act,Mr. Justice Munib Akhtar,14-05-2025,14-05-2025,N/A,2025 SCP 184,https://www.supremecourt.gov.pk/downloads_judgements/c.a._634_2018.pdf,C.A.634_2018.pdf,Success,2025-10-05T14:06:54.599591
177,Crl.A.181/2022,Khizar Hayat v. The State,Life Imprisonment/Sessions,Mr. Justice Muhammad Hashim Khan Kakar,13-05-2025,28-04-2025,N/A,2025 SCP 183,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._181_2022.pdf,Crl.A.181_2022.pdf,Success,2025-10-05T14:06:56.077788
178,C.A.743/2014,M/s Kassim Textile (Pvt) Ltd. v. Commissioner Inland Revenue,Tax/Income Tax,Mr. Justice Miangul Hassan Aurangzeb,13-05-2025,02-05-2025,N/A,2025 SCP 182,https://www.supremecourt.gov.pk/downloads_judgements/c.a._743_2014.pdf,C.A.743_2014.pdf,Success,2025-10-05T14:06:57.659222
179,Crl.A.507/2023,Altaf Hussain v. The State,Life Imprisonment/Sessions,Mr. Justice Ishtiaq Ibrahim,13-05-2025,07-05-2025,N/A,2025 SCP 181,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._507_2023.pdf,Crl.A.507_2023.pdf,Success,2025-10-05T14:06:58.955727
180,Crl.A.703/2020,Iftikhar Kayani @ Khara v. The State,Life Imprisonment/Life Imprisonment,Mr. Justice Ishtiaq Ibrahim,13-05-2025,28-04-2025,N/A,2025 SCP 180,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._703_2020.pdf,Crl.A.703_2020.pdf,Success,2025-10-05T14:07:00.368194
181,J.P.343/2023,Zakir Ali v. The State,Sentence/More than 5 years and upto 10 years,Mr. Justice Ishtiaq Ibrahim,13-05-2025,24-04-2025,N/A,2025 SCP 179,https://www.supremecourt.gov.pk/downloads_judgements/j.p._343_2023.pdf,J.P.343_2023.pdf,Success,2025-10-05T14:07:01.570862
182,J.P.27/2019,Ghazi Khan Pathan and Marzak Pathan v. The State,Life Imprisonment/Life Imprisonment,Mr. Justice Ishtiaq Ibrahim,13-05-2025,23-04-2025,N/A,2025 SCP 178,https://www.supremecourt.gov.pk/downloads_judgements/j.p._27_2019.pdf,J.P.27_2019.pdf,Success,2025-10-05T14:07:02.807506
183,J.P.14/2020,Obaidullah v. The State,Life Imprisonment/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,13-05-2025,02-05-2025,N/A,2025 SCP 177,https://www.supremecourt.gov.pk/downloads_judgements/j.p._14_2020.pdf,J.P.14_2020.pdf,Success,2025-10-05T14:07:04.169022
184,C.A.470/2022,Iftikhar ud Din Khattak (decd.) thr. L.Rs. v. M/s Askari Bank Limited and others,Rent/Ejectment/Rent/Ejectment,Mr. Justice Aqeel Ahmed Abbasi,13-05-2025,16-04-2025,N/A,2025 SCP 176,https://www.supremecourt.gov.pk/downloads_judgements/c.a._470_2022.pdf,C.A.470_2022.pdf,Success,2025-10-05T14:07:05.406030
185,Crl.P.L.A.1117/2024,"Hafiz Farhat Abbas v. The State through the Prosecutor General Punjab, Lahore and another",Bail Before Arrest,Mr. Justice Naeem Akhter Afghan,12-05-2025,02-05-2025,N/A,2025 SCP 175,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1117_2024.pdf,Crl.P.L.A.1117_2024.pdf,Success,2025-10-05T14:07:06.062573
186,C.P.L.A.3875/2024,Khurshed Ali Khan v. Muhammad Ayub and others,Restoration/of Civil Revision,Mr. Justice Muhammad Shafi Siddiqui,12-05-2025,08-05-2025,N/A,2025 SCP 174,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3875_2024.pdf,C.P.L.A.3875_2024.pdf,Success,2025-10-05T14:07:06.902860
187,C.P.L.A.2135-L/2020,"The Commissioner Inland Revenue, Lahore v. Salman Butt, etc",Tax/Income Tax,Mr. Justice Muhammad Shafi Siddiqui,12-05-2025,08-05-2025,N/A,2025 SCP 173,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2135_l_2020.pdf,C.P.L.A.2135-L_2020.pdf,Success,2025-10-05T14:07:08.311217
188,C.P.L.A.690-K/2022,Shahzad v. The Collector of Customs & another,Tax/Tax,Mr. Justice Muhammad Shafi Siddiqui,12-05-2025,07-05-2025,N/A,2025 SCP 172,https://www.supremecourt.gov.pk/downloads_judgements/c.p._690_k_2022.pdf,C.P.L.A.690-K_2022.pdf,Success,2025-10-05T14:07:09.085649
189,J.P.868/2017,Muhammad Asghar v. The State,Life Imprisonment/Sessions,Mr. Justice Irfan Saadat Khan,12-05-2025,22-04-2025,N/A,2025 SCP 171,https://www.supremecourt.gov.pk/downloads_judgements/j.p._868_2017.pdf,J.P.868_2017.pdf,Success,2025-10-05T14:07:10.504957
190,C.R.P.292/2024,"Federal Public Service Commission through its Secretary, Islamabad v. Kashif Mustafa and others",Federal Public Service Commission/Federal Public Service Commission,Mr. Justice Syed Mansoor Ali Shah,09-05-2025,08-05-2025,N/A,2025 SCP 170,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._292_2024.pdf,C.R.P.292_2024.pdf,Success,2025-10-05T14:07:11.289692
191,Crl.P.L.A.532/2018,"Zunair Younas v. The State thr. P.G., Punjab & another",Life Imprisonment/Life Imprisonment,Mr. Justice Salahuddin Panhwar,09-05-2025,22-04-2025,N/A,2025 SCP 169,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._532_2018.pdf,Crl.P.L.A.532_2018.pdf,Success,2025-10-05T14:07:12.389956
192,C.R.P.5/2023,"District Education Officer (Female), Charsadda and others v. Miss Sonia Begam",Service/Appointments,Mr. Justice Muhammad Ali Mazhar,08-05-2025,25-04-2025,N/A,2025 SCP 168,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._5_2023_an.pdf,C.R.P.5_2023.pdf,Success,2025-10-05T14:07:13.162466
193,C.A.1843/2019,Sher Asfandyar Khan v. Neelofar Shah & others,Company Law/Winding up,Mrs. Justice Ayesha A. Malik,08-05-2025,08-05-2025,N/A,2025 SCP 167,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1843_2019_dn.pdf,C.A.1843_2019.pdf,Success,2025-10-05T14:07:14.135891
194,C.A.1843/2019,Sher Asfandyar Khan v. Neelofar Shah & others,Company Law/Winding up,Mr. Justice Yahya Afridi,08-05-2025,08-05-2025,N/A,2025 SCP 166,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1843_2019.pdf,C.A.1843_2019.pdf,Already exists,2025-10-05T14:07:14.437370
195,I.C.A.5/2023,"Shuhada Forum, Balochistan through its Patron in Chief, Nawabzada Jamal Raisani, Quetta Cantt and others v. Justice (R) Jawwad S. Khawaja and others",Miscellaneous,(1) Mr. Justice Amin-Ud-Din Khan (2) Mr. Justice Muhammad Ali Mazhar (3) Mr. Justice Syed Hasan Azhar Rizvi (4) Ms. Justice Musarrat Hilali (5) Mr. Justice Shahid Bilal Hassan,07-05-2025,07-05-2025,N/A,2025 SCP 165,https://www.supremecourt.gov.pk/downloads_judgements/i.c.a._5_2023_so_07052025.pdf,I.C.A.5_2023.pdf,Already exists,2025-10-05T14:07:14.741152
196,I.C.A.5/2023,"Shuhada Forum, Balochistan through its Patron in Chief, Nawabzada Jamal Raisani, Quetta Cantt and others v. Justice (R) Jawwad S. Khawaja and others",Miscellaneous,(1) Mr. Justice Jamal Khan Mandokhail (2) Mr. Justice Naeem Akhter Afghan,07-05-2025,07-05-2025,N/A,2025 SCP 164,https://www.supremecourt.gov.pk/downloads_judgements/i.c.a._5_2023_dn_07052025.pdf,I.C.A.5_2023.pdf,Already exists,2025-10-05T14:07:15.043502
197,Crl.A.566/2020,Usman Ahmed v. The State,Life Imprisonment/Sessions,Mr. Justice Irfan Saadat Khan,07-05-2025,15-04-2025,N/A,2025 SCP 163,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._566_2020.pdf,Crl.A.566_2020.pdf,Success,2025-10-05T14:07:16.539343
198,C.P.L.A.2478/2024,"Direct officer Frontier Constabulary Hayat, Peshawar v. Haji Amir Badshah and others``",Land Acquisition/Compensation,Mr. Justice Shakeel Ahmad,06-05-2025,23-04-2025,N/A,2025 SCP 162,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2478_2024.pdf,C.P.L.A.2478_2024.pdf,Success,2025-10-05T14:07:17.354170
199,C.P.L.A.109-L/2024,"Commissioner Inland Revenue, Lahore v. M/S Educational Services (Private) Limited, Lahore",Tax/Sales Tax Act,Mr. Justice Munib Akhtar,06-05-2025,24-04-2025,N/A,2025 SCP 161,https://www.supremecourt.gov.pk/downloads_judgements/c.p._109_l_2024.pdf,C.P.L.A.109-L_2024.pdf,Success,2025-10-05T14:07:18.156009
200,C.R.P.5/2023,"District Education Officer (Female), Charsadda and others v. Miss Sonia Begam",Service/Appointments,Mr. Justice Syed Mansoor Ali Shah,06-05-2025,25-04-2025,N/A,2025 SCP 160,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._5_2023.pdf,C.R.P.5_2023.pdf,Already exists,2025-10-05T14:07:18.465043
201,Crl.P.L.A.1175/2024,Ejaz Ahmad Chaudhry v. The State through P.G. Punjab & another,Bail After Arrest,Mr. Justice Naeem Akhter Afghan,05-05-2025,02-05-2025,N/A,2025 SCP 159,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1175_2024.pdf,Crl.P.L.A.1175_2024.pdf,Success,2025-10-05T14:07:19.255902
202,C.P.L.A.3116/2022,"Aatika Hina Mushtaq v. Secretary Special Education Government of the Punjab, Special Education Department Lahore and others",Service/Promotion,Mr. Justice Syed Mansoor Ali Shah,05-05-2025,21-04-2025,N/A,2025 SCP 158,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3116_2022.pdf,C.P.L.A.3116_2022.pdf,Success,2025-10-05T14:07:20.105708
203,C.P.L.A.181/2023,Aziz Ahmad and others v. Mst. Musarat & another,Succession Certificate/Succession Certificate,Mr. Justice Shakeel Ahmad,02-05-2025,09-04-2025,N/A,2025 SCP 157,https://www.supremecourt.gov.pk/downloads_judgements/c.p._181_2023.pdf,C.P.L.A.181_2023.pdf,Success,2025-10-05T14:07:21.116362
204,C.P.L.A.3920/2024,Asjad Ullah v. Mst. Aisa Bano and others,Guardian and Ward/Custody of Minor,(1) Mr. Justice Syed Hasan Azhar Rizvi (2) Ms. Justice Musarrat Hilali,02-05-2025,22-04-2025,N/A,2025 SCP 156,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3920_2024.pdf,C.P.L.A.3920_2024.pdf,Success,2025-10-05T14:07:22.304097
205,C.P.L.A.121/2024,"National Bank of Pakistan thr. its President, Karachi & others v. Muhammad Shafiq",Service/Against Reinstatment into Service,Mr. Justice Munib Akhtar,30-04-2025,09-01-2025,N/A,2025 SCP 155,https://www.supremecourt.gov.pk/downloads_judgements/c.p._121_2024.pdf,C.P.L.A.121_2024.pdf,Success,2025-10-05T14:07:23.053645
206,C.P.L.A.287-P/2025,Hidayat Khan and others v. Mst. Nasreen and others,Suit for Declaration/Ownership,Mr. Justice Shahid Bilal Hassan,29-04-2025,24-04-2025,N/A,2025 SCP 154,https://www.supremecourt.gov.pk/downloads_judgements/c.p._287_p_2025.pdf,C.P.L.A.287-P_2025.pdf,Success,2025-10-05T14:07:23.846147
207,C.P.L.A.5029/2024,"Surfactant Chemical Company Pvt Ltd through its duly authorized representative Officer, Karachi v. Federation of Pakistan through the Secretary, Ministry of Finance Islamabad and others",Tax/Custom Duty,Mr. Justice Muhammad Shafi Siddiqui,29-04-2025,18-04-2025,N/A,2025 SCP 153,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5029_2024.pdf,C.P.L.A.5029_2024.pdf,Success,2025-10-05T14:07:24.613854
208,C.P.L.A.687-L/2024,"Commissioner Inland Revenue, Faisalabad v. M/s National Public Welfare Society, Jinnah Colony Faisalabad & others",Tax/Income Tax,Mrs. Justice Ayesha A. Malik,29-04-2025,23-04-2025,N/A,2025 SCP 152,https://www.supremecourt.gov.pk/downloads_judgements/c.p._687_l_2024.pdf,C.P.L.A.687-L_2024.pdf,Success,2025-10-05T14:07:25.510817
209,Crl.P.L.A.332/2025,Zulqarnain Haider alias Zain v. The State thr. P.G. Punjab and another,Bail After Arrest/Bail After Arrest,Mr. Justice Ishtiaq Ibrahim,26-04-2025,22-04-2025,N/A,2025 SCP 151,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._332_2025.pdf,Crl.P.L.A.332_2025.pdf,Success,2025-10-05T14:07:26.778254
210,Crl.P.L.A.310/2025,"Muhammad Akhtar Hussain v. The State thr. Prosecutor General, Punjab and another",Bail Before Arrest,Mr. Justice Ishtiaq Ibrahim,26-04-2025,17-04-2025,N/A,2025 SCP 150,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._310_2025.pdf,Crl.P.L.A.310_2025.pdf,Success,2025-10-05T14:07:27.923662
211,Crl.P.L.A.876/2022,Altaf Hussain v. The State thr. P.G. Balochistan,Miscellaneous,Mr. Justice Muhammad Hashim Khan Kakar,26-04-2025,23-04-2025,N/A,2025 SCP 149,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._876_2022.pdf,Crl.P.L.A.876_2022.pdf,Success,2025-10-05T14:07:29.045057
212,C.P.L.A.1189/2025,Mst. Edan Bibi v. Naseem Khan and others,Suit for Declaration/Possession,Mr. Justice Muhammad Shafi Siddiqui,24-04-2025,22-04-2025,N/A,2025 SCP 148,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1189_2025.pdf,C.P.L.A.1189_2025.pdf,Success,2025-10-05T14:07:29.733606
213,C.P.L.A.930/2024,Khalid Pervaiz ul Haq and another v. Mst. Minha Asif and another,Writ Petition/Writ Petition,Mr. Justice Muhammad Shafi Siddiqui,24-04-2025,22-04-2025,N/A,2025 SCP 147,https://www.supremecourt.gov.pk/downloads_judgements/c.p._930_2024.pdf,C.P.L.A.930_2024.pdf,Success,2025-10-05T14:07:30.388560
214,C.P.L.A.220-K/2025,"The Province of Sindh through Chief Secretary, Government of Sindh,Karachi & others v. Abid Ali Jatoi & others",Writ Petition/Service,Mr. Justice Muhammad Ali Mazhar,24-04-2025,20-03-2025,N/A,2025 SCP 146,https://www.supremecourt.gov.pk/downloads_judgements/c.p._220_k_2025.pdf,C.P.L.A.220-K_2025.pdf,Success,2025-10-05T14:07:31.182776
215,C.P.L.A.1718-L/2015,"Senior Member Board of Revenue, Punjab, Lahore, etc v. Abdul Shakoor (decd) through his L.R. etc",Colony / Colonization of Govt. Land Act Cases/Grant of Proprietary Rights,Mr. Justice Shahid Bilal Hassan,24-04-2025,24-04-2025,N/A,2025 SCP 145,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1718_l_2015.pdf,C.P.L.A.1718-L_2015.pdf,Success,2025-10-05T14:07:31.935861
